wavelength,intensity,error,status,Version,IDData,IDDevice,IDDataType,IDDataTypeSub1,IDDataTypeSub2,IDDataTypeSub3,DateTime,PositionLatitude,PositionLongitude,Comment,CommentSub1,CommentSub2,CommentSub3,IDMethodType,MethodName,Mission,MissionSub,RecordType,CalFactor,IDBasisSpec,IDDataBack,IDDataCal,InclV,InclValid,InclX,InclY,IntegrationTime,P31,P31e,PathLength,PathLengthCustomOn,PressValid,Pressure,RAWDynamic,Salinity,Temperature,Unit1,Unit2,Unit3,Unit4,p999
12,1202,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
13,1213,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
14,1213,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
15,1211,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
16,1225,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
17,1246,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
18,1263,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
19,1254,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
20,1251,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
21,1250,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
22,1253,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
23,1269,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
24,1289,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
25,1280,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
26,1302,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
27,1344,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
28,1488,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
29,2455,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
30,3118,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
31,2749,0,0,1,95A7_2019-07-16_12-50-20_000_009,SAM_8581,SPECTRUM,RAW,,,2019-07-16 12:50:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,19.7866511339055,1,-16.8,10.15,1024,-1,0,+INF,0,1,0.00987427483212588,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,1
