wavelength,intensity,error,status,Version,IDData,IDDevice,IDDataType,IDDataTypeSub1,IDDataTypeSub2,IDDataTypeSub3,DateTime,PositionLatitude,PositionLongitude,Comment,CommentSub1,CommentSub2,CommentSub3,IDMethodType,MethodName,Mission,MissionSub,RecordType,CalFactor,IDBasisSpec,IDDataBack,IDDataCal,InclV,InclValid,InclX,InclY,IntegrationTime,P31,P31e,PathLength,PathLengthCustomOn,PressValid,Pressure,RAWDynamic,Salinity,Temperature,Unit1,Unit2,Unit3,Unit4,p999
1,1258,0,0,1,95A7_2019-05-02_23-48-50_000_415,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:48:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,3.56948472314572,1,-0.7,3.5,4096,-1,0,+INF,0,1,0.0918429303055776,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,31
2,1265,0,0,1,95A7_2019-05-02_23-48-50_000_415,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:48:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,3.56948472314572,1,-0.7,3.5,4096,-1,0,+INF,0,1,0.0918429303055776,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,31
3,1243,0,0,1,95A7_2019-05-02_23-48-50_000_415,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:48:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,3.56948472314572,1,-0.7,3.5,4096,-1,0,+INF,0,1,0.0918429303055776,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,31
4,1253,0,0,1,95A7_2019-05-02_23-48-50_000_415,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:48:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,3.56948472314572,1,-0.7,3.5,4096,-1,0,+INF,0,1,0.0918429303055776,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,31
5,1248,0,0,1,95A7_2019-05-02_23-48-50_000_415,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:48:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,3.56948472314572,1,-0.7,3.5,4096,-1,0,+INF,0,1,0.0918429303055776,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,31
6,1228,0,0,1,95A7_2019-05-02_23-48-50_000_415,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:48:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,3.56948472314572,1,-0.7,3.5,4096,-1,0,+INF,0,1,0.0918429303055776,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,31
7,1242,0,0,1,95A7_2019-05-02_23-48-50_000_415,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:48:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,3.56948472314572,1,-0.7,3.5,4096,-1,0,+INF,0,1,0.0918429303055776,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,31
8,1263,0,0,1,95A7_2019-05-02_23-48-50_000_415,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:48:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,3.56948472314572,1,-0.7,3.5,4096,-1,0,+INF,0,1,0.0918429303055776,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,31
9,1230,0,0,1,95A7_2019-05-02_23-48-50_000_415,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:48:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,3.56948472314572,1,-0.7,3.5,4096,-1,0,+INF,0,1,0.0918429303055776,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,31
10,1254,0,0,1,95A7_2019-05-02_23-48-50_000_415,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:48:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,3.56948472314572,1,-0.7,3.5,4096,-1,0,+INF,0,1,0.0918429303055776,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,31
