wavelength,intensity,error,status,Version,IDData,IDDevice,IDDataType,IDDataTypeSub1,IDDataTypeSub2,IDDataTypeSub3,DateTime,PositionLatitude,PositionLongitude,Comment,CommentSub1,CommentSub2,CommentSub3,IDMethodType,MethodName,Mission,MissionSub,RecordType,CalFactor,IDBasisSpec,IDDataBack,IDDataCal,InclV,InclValid,InclX,InclY,IntegrationTime,P31,P31e,PathLength,PathLengthCustomOn,PressValid,Pressure,RAWDynamic,Salinity,Temperature,Unit1,Unit2,Unit3,Unit4,p999
1,1270,0,0,1,95A7_2019-06-17_01-57-50_000_404,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:57:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,7.83409018285092,1,7,3.5,4096,-1,0,+INF,0,1,0.855608048276473,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,30
2,1259,0,0,1,95A7_2019-06-17_01-57-50_000_404,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:57:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,7.83409018285092,1,7,3.5,4096,-1,0,+INF,0,1,0.855608048276473,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,30
3,1262,0,0,1,95A7_2019-06-17_01-57-50_000_404,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:57:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,7.83409018285092,1,7,3.5,4096,-1,0,+INF,0,1,0.855608048276473,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,30
4,1267,0,0,1,95A7_2019-06-17_01-57-50_000_404,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:57:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,7.83409018285092,1,7,3.5,4096,-1,0,+INF,0,1,0.855608048276473,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,30
5,1260,0,0,1,95A7_2019-06-17_01-57-50_000_404,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:57:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,7.83409018285092,1,7,3.5,4096,-1,0,+INF,0,1,0.855608048276473,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,30
6,1260,0,0,1,95A7_2019-06-17_01-57-50_000_404,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:57:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,7.83409018285092,1,7,3.5,4096,-1,0,+INF,0,1,0.855608048276473,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,30
7,1265,0,0,1,95A7_2019-06-17_01-57-50_000_404,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:57:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,7.83409018285092,1,7,3.5,4096,-1,0,+INF,0,1,0.855608048276473,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,30
8,1257,0,0,1,95A7_2019-06-17_01-57-50_000_404,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:57:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,7.83409018285092,1,7,3.5,4096,-1,0,+INF,0,1,0.855608048276473,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,30
9,1258,0,0,1,95A7_2019-06-17_01-57-50_000_404,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:57:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,7.83409018285092,1,7,3.5,4096,-1,0,+INF,0,1,0.855608048276473,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,30
10,1264,0,0,1,95A7_2019-06-17_01-57-50_000_404,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:57:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,7.83409018285092,1,7,3.5,4096,-1,0,+INF,0,1,0.855608048276473,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,30
