wavelength,intensity,error,status,Version,IDData,IDDevice,IDDataType,IDDataTypeSub1,IDDataTypeSub2,IDDataTypeSub3,DateTime,PositionLatitude,PositionLongitude,Comment,CommentSub1,CommentSub2,CommentSub3,IDMethodType,MethodName,Mission,MissionSub,RecordType,CalFactor,IDBasisSpec,IDDataBack,IDDataCal,InclV,InclValid,InclX,InclY,IntegrationTime,P31,P31e,PathLength,PathLengthCustomOn,PressValid,Pressure,RAWDynamic,Salinity,Temperature,Unit1,Unit2,Unit3,Unit4,p999
1,1443,0,0,1,95A7_2019-06-16_14-13-40_000_106,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:13:40,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,9.80637151370733,1,-0.35,-9.8,64,-1,0,+INF,0,1,0.0260524611662742,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,7
2,1557,0,0,1,95A7_2019-06-16_14-13-40_000_106,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:13:40,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,9.80637151370733,1,-0.35,-9.8,64,-1,0,+INF,0,1,0.0260524611662742,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,7
3,1768,0,0,1,95A7_2019-06-16_14-13-40_000_106,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:13:40,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,9.80637151370733,1,-0.35,-9.8,64,-1,0,+INF,0,1,0.0260524611662742,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,7
4,2096,0,0,1,95A7_2019-06-16_14-13-40_000_106,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:13:40,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,9.80637151370733,1,-0.35,-9.8,64,-1,0,+INF,0,1,0.0260524611662742,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,7
5,2572,0,0,1,95A7_2019-06-16_14-13-40_000_106,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:13:40,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,9.80637151370733,1,-0.35,-9.8,64,-1,0,+INF,0,1,0.0260524611662742,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,7
6,3302,0,0,1,95A7_2019-06-16_14-13-40_000_106,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:13:40,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,9.80637151370733,1,-0.35,-9.8,64,-1,0,+INF,0,1,0.0260524611662742,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,7
7,4167,0,0,1,95A7_2019-06-16_14-13-40_000_106,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:13:40,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,9.80637151370733,1,-0.35,-9.8,64,-1,0,+INF,0,1,0.0260524611662742,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,7
8,4992,0,0,1,95A7_2019-06-16_14-13-40_000_106,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:13:40,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,9.80637151370733,1,-0.35,-9.8,64,-1,0,+INF,0,1,0.0260524611662742,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,7
9,5821,0,0,1,95A7_2019-06-16_14-13-40_000_106,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:13:40,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,9.80637151370733,1,-0.35,-9.8,64,-1,0,+INF,0,1,0.0260524611662742,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,7
10,6849,0,0,1,95A7_2019-06-16_14-13-40_000_106,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:13:40,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,9.80637151370733,1,-0.35,-9.8,64,-1,0,+INF,0,1,0.0260524611662742,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,7
