wavelength,intensity,error,status,Version,IDData,IDDevice,IDDataType,IDDataTypeSub1,IDDataTypeSub2,IDDataTypeSub3,DateTime,PositionLatitude,PositionLongitude,Comment,CommentSub1,CommentSub2,CommentSub3,IDMethodType,MethodName,Mission,MissionSub,RecordType,CalFactor,IDBasisSpec,IDDataBack,IDDataCal,InclV,InclValid,InclX,InclY,IntegrationTime,P31,P31e,PathLength,PathLengthCustomOn,PressValid,Pressure,RAWDynamic,Salinity,Temperature,Unit1,Unit2,Unit3,Unit4,p999
1,1265,0,0,1,95A7_2019-06-17_01-38-00_000_197,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:38:00,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,5.7449320564664,1,4.55,3.5,4096,-1,0,+INF,0,1,0.551709665732,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
2,1257,0,0,1,95A7_2019-06-17_01-38-00_000_197,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:38:00,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,5.7449320564664,1,4.55,3.5,4096,-1,0,+INF,0,1,0.551709665732,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
3,1267,0,0,1,95A7_2019-06-17_01-38-00_000_197,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:38:00,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,5.7449320564664,1,4.55,3.5,4096,-1,0,+INF,0,1,0.551709665732,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
4,1261,0,0,1,95A7_2019-06-17_01-38-00_000_197,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:38:00,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,5.7449320564664,1,4.55,3.5,4096,-1,0,+INF,0,1,0.551709665732,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
5,1256,0,0,1,95A7_2019-06-17_01-38-00_000_197,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:38:00,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,5.7449320564664,1,4.55,3.5,4096,-1,0,+INF,0,1,0.551709665732,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
6,1256,0,0,1,95A7_2019-06-17_01-38-00_000_197,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:38:00,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,5.7449320564664,1,4.55,3.5,4096,-1,0,+INF,0,1,0.551709665732,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
7,1262,0,0,1,95A7_2019-06-17_01-38-00_000_197,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:38:00,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,5.7449320564664,1,4.55,3.5,4096,-1,0,+INF,0,1,0.551709665732,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
8,1263,0,0,1,95A7_2019-06-17_01-38-00_000_197,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:38:00,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,5.7449320564664,1,4.55,3.5,4096,-1,0,+INF,0,1,0.551709665732,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
9,1261,0,0,1,95A7_2019-06-17_01-38-00_000_197,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:38:00,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,5.7449320564664,1,4.55,3.5,4096,-1,0,+INF,0,1,0.551709665732,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
10,1260,0,0,1,95A7_2019-06-17_01-38-00_000_197,SAM_8581,SPECTRUM,RAW,,,2019-06-17 01:38:00,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,5.7449320564664,1,4.55,3.5,4096,-1,0,+INF,0,1,0.551709665732,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
